Session,Capital_Start,Capital_End,Profit_Bits,Profit_Percent,Status,Games_Played,Wins,Losses
1,50000,52167.00,2167.00,4.334,COMPLETED,2000,675,1325
2,50000,52129.00,2129.00,4.258,COMPLETED,2000,650,1350
3,50000,15681.00,-34319.00,-68.638,COMPLETED,2000,627,1372
4,50000,15782.00,-34218.00,-68.436,COMPLETED,2000,681,1318
5,50000,52132.00,2132.00,4.264,COMPLETED,2000,649,1351
6,50000,51905.00,1905.00,3.810,COMPLETED,2000,676,1324
7,50000,52108.00,2108.00,4.216,COMPLETED,2000,639,1361
8,50000,52167.00,2167.00,4.334,COMPLETED,2000,670,1330
9,50000,52143.00,2143.00,4.286,COMPLETED,2000,650,1350
10,50000,52031.00,2031.00,4.062,COMPLETED,2000,600,1400
11,50000,52159.00,2159.00,4.318,COMPLETED,2000,663,1337
12,50000,52181.00,2181.00,4.362,COMPLETED,2000,680,1320
13,50000,52111.00,2111.00,4.222,COMPLETED,2000,632,1368
14,50000,52138.00,2138.00,4.276,COMPLETED,2000,652,1348
15,50000,52186.00,2186.00,4.372,COMPLETED,2000,675,1325
16,50000,52133.00,2133.00,4.266,COMPLETED,2000,675,1325
17,50000,52057.00,2057.00,4.114,COMPLETED,2000,611,1389
18,50000,52116.00,2116.00,4.232,COMPLETED,2000,638,1362
19,50000,52112.00,2112.00,4.224,COMPLETED,2000,645,1355
20,50000,52106.00,2106.00,4.212,COMPLETED,2000,642,1358
21,50000,52177.00,2177.00,4.354,COMPLETED,2000,668,1332
22,50000,15656.00,-34344.00,-68.688,COMPLETED,2000,624,1375
23,50000,52166.00,2166.00,4.332,COMPLETED,2000,669,1331
24,50000,52146.00,2146.00,4.292,COMPLETED,2000,657,1343
25,50000,52097.00,2097.00,4.194,COMPLETED,2000,636,1364
26,50000,52107.00,2107.00,4.214,COMPLETED,2000,635,1365
27,50000,51955.00,1955.00,3.910,COMPLETED,2000,651,1349
